Gemcodel,Gemcode,GemeentecodeGM,Provincienaam,Provinciecode,ProvinciecodePV,Y2011Q3,Y2012Q1,Y2012Q3,Y2013Q1,Y2013Q3,Y2014Q1,Y2016Q1,Y2016Q3,Y2017Q1,Y2018Q1,Y2018Q3,Y2019Q1,Y2019Q3,Y2020Q3,Y2021Q3,Y2022Q3
Aa en Hunze,1680,GM1680,Drenthe,22,PV22,0,0,0,0,0,0,0,0,0,0,1,2,2,27,27,72
Aalburg,738,GM0738,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,0,0,,,,,
Aalsmeer,358,GM0358,Noord-Holland,27,PV27,0,50,50,100,100,100,50,93,92,92,91,95,95,94,92,97
Aalten,197,GM0197,Gelderland,25,PV25,62,87,87,89,90,90,82,74,74,79,79,83,92,96,97,97
Achtkarspelen,59,GM0059,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,50
Alblasserdam,482,GM0482,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
Albrandswaard,613,GM0613,Zuid-Holland,28,PV28,1,1,1,20,92,99,32,95,94,93,94,97,97,97,96,97
Alkmaar,361,GM0361,Noord-Holland,27,PV27,0,0,0,0,1,1,7,1,1,2,3,3,3,10,19,37
Almelo,141,GM0141,Overijssel,23,PV23,0,0,0,3,7,84,65,97,96,96,96,98,98,98,98,98
Almere,34,GM0034,Flevoland,24,PV24,86,84,84,99,99,100,100,94,94,94,96,98,98,98,98,99
Alphen aan den Rijn,484,GM0484,Zuid-Holland,28,PV28,28,73,73,99,99,100,59,63,64,64,64,67,67,67,67,74
Alphen-Chaam,1723,GM1723,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,11,16,20,32,33,32,32
Ameland,60,GM0060,Friesland,21,PV21,0,0,0,0,0,0,55,90,89,88,88,92,97,96,94,92
Amersfoort,307,GM0307,Utrecht,26,PV26,72,81,81,97,100,100,97,97,97,97,97,98,98,98,98,98
Amstelveen,362,GM0362,Noord-Holland,27,PV27,10,11,11,12,12,13,4,9,9,9,10,11,11,11,12,51
Amsterdam,363,GM0363,Noord-Holland,27,PV27,14,12,12,13,14,16,19,16,17,17,19,19,19,20,23,32
Anna Paulowna,366,GM0366,,,,0,0,0,,,,,,,,,,,,,
Apeldoorn,200,GM0200,Gelderland,25,PV25,0,1,1,2,2,2,17,12,12,14,14,24,22,41,45,98
Appingedam,3,GM0003,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,1,1,9,,
Arnhem,202,GM0202,Gelderland,25,PV25,7,7,7,8,10,11,10,10,10,12,14,16,20,44,50,81
Assen,106,GM0106,Drenthe,22,PV22,0,0,0,13,13,13,8,7,8,14,14,15,15,18,20,48
Asten,743,GM0743,Noord-Brabant,30,PV30,0,0,0,50,92,92,86,85,85,86,87,99,99,97,99,99
Baarle-Nassau,744,GM0744,Noord-Brabant,30,PV30,0,62,62,69,70,70,48,61,61,78,89,91,92,95,96,96
Baarn,308,GM0308,Utrecht,26,PV26,0,0,0,0,0,0,93,93,92,93,93,94,94,94,95,96
Barendrecht,489,GM0489,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,5
Barneveld,203,GM0203,Gelderland,25,PV25,0,1,1,27,60,79,64,69,68,69,73,71,78,79,79,86
Bedum,5,GM0005,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,,,,,
Beek,888,GM0888,Limburg,31,PV31,0,0,0,0,11,83,97,87,87,87,87,89,89,89,89,89
Beemster,370,GM0370,Noord-Holland,27,PV27,0,0,0,1,1,1,0,2,4,9,11,10,10,47,54,
Beesel,889,GM0889,Limburg,31,PV31,3,3,3,3,3,3,87,1,1,1,1,1,1,2,3,98
Bellingwedde,7,GM0007,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,,,,,,,
Bergambacht,491,GM0491,,,,0,0,0,0,0,0,,,,,,,,,,
Bergeijk,1724,GM1724,Noord-Brabant,30,PV30,0,0,0,78,100,100,97,92,95,96,96,97,97,97,98,99
Bergen (L.),893,GM0893,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Bergen (NH.),373,GM0373,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
Bergen op Zoom,748,GM0748,Noord-Brabant,30,PV30,0,1,1,1,1,1,2,1,2,3,5,7,13,42,62,99
Berkelland,1859,GM1859,Gelderland,25,PV25,15,15,15,48,64,78,77,80,80,80,94,95,96,96,96,99
Bernheze,1721,GM1721,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,74,95,98,98,100,99,99
Bernisse,568,GM0568,,,,0,0,0,0,0,0,,,,,,,,,,
Best,753,GM0753,Noord-Brabant,30,PV30,98,98,98,99,99,100,91,89,88,89,91,93,93,93,94,95
Beuningen,209,GM0209,Gelderland,25,PV25,0,0,0,30,92,99,91,92,91,92,92,93,93,93,93,98
Beverwijk,375,GM0375,Noord-Holland,27,PV27,0,6,6,15,15,19,16,10,9,12,12,12,12,14,17,25
het Bildt,63,GM0063,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,,,,,,,
De Bilt,310,GM0310,Utrecht,26,PV26,0,0,0,0,24,65,72,76,76,76,76,77,77,78,78,78
Binnenmaas,585,GM0585,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,1,,,,,
Bladel,1728,GM1728,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,4,5,6,7,7,7,8,8
Blaricum,376,GM0376,Noord-Holland,27,PV27,0,1,1,2,3,3,13,6,12,14,17,19,19,22,24,24
Bloemendaal,377,GM0377,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,79
Boarnsterhim,55,GM0055,,,,0,0,0,0,0,0,,,,,,,,,,
Bodegraven-Reeuwijk,1901,GM1901,Zuid-Holland,28,PV28,0,0,0,14,14,14,15,16,16,28,30,24,24,24,28,18
Boekel,755,GM0755,Noord-Brabant,30,PV30,,,,35,100,100,98,93,92,98,98,99,99,99,99,99
Ten Boer,9,GM0009,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,,,,,
Borger-Odoorn,1681,GM1681,Drenthe,22,PV22,0,0,,0,0,0,0,0,0,0,0,0,0,10,17,52
Borne,147,GM0147,Overijssel,23,PV23,0,44,99,100,100,100,96,89,88,90,93,94,94,94,95,96
Borsele,654,GM0654,Zeeland,29,PV29,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Boskoop,499,GM0499,,,,0,0,0,0,0,0,,,,,,,,,,
Boxmeer,756,GM0756,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,1,1,47,98,99,99,
Boxtel,757,GM0757,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,1,1,5,5,5,5,6,22
Breda,758,GM0758,Noord-Brabant,30,PV30,0,0,0,1,1,1,0,3,3,3,4,4,7,21,23,73
Brielle,501,GM0501,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,1,1,48,49,51,62
Bronckhorst,1876,GM1876,Gelderland,25,PV25,46,51,56,57,57,57,57,50,50,52,52,55,71,80,80,98
Brummen,213,GM0213,Gelderland,25,PV25,35,87,87,86,86,86,79,73,73,79,79,81,81,80,81,95
Brunssum,899,GM0899,Limburg,31,PV31,0,0,0,0,0,0,98,88,88,81,82,85,85,83,87,88
Bunnik,312,GM0312,Utrecht,26,PV26,10,10,52,97,97,98,92,89,88,91,91,94,95,95,96,98
Bunschoten,313,GM0313,Utrecht,26,PV26,8,65,100,100,100,100,98,92,92,91,92,95,95,99,99,99
Buren,214,GM0214,Gelderland,25,PV25,0,0,0,0,0,0,0,0,1,1,2,3,6,25,26,29
Bussum,381,GM0381,,,,12,12,12,12,12,26,,,,,,,,,,
Capelle aan den IJssel,502,GM0502,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4
Castricum,383,GM0383,Noord-Holland,27,PV27,0,0,0,0,0,0,1,1,1,2,3,3,3,3,5,6
Coevorden,109,GM0109,Drenthe,22,PV22,0,0,0,0,0,0,37,38,38,40,41,43,43,60,61,96
Cranendonck,1706,GM1706,Noord-Brabant,30,PV30,0,0,0,20,70,70,62,62,60,60,60,63,63,68,69,70
Cromstrijen,611,GM0611,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,1,,,,,
